Index,hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,parking_spaces,total_of_special_requests,y_pred,y_pred_proba,is_canceled,timestamp
0,City Hotel,120,1,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient-Party,94.5,0,1,0,0.2832347168962624,0,2016-05-01
1,City Hotel,120,1,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient-Party,103.5,1,1,0,0.025885743206921656,0,2016-05-01
2,City Hotel,121,1,0,2,0.0,0,SC,FIN,Online TA,TA/TO,0,0,0,A,A,6,No Deposit,9.0,UNK,0,Transient,129.0,0,1,0,0.1483518680364168,0,2016-05-01
3,City Hotel,3,1,0,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient,0.0,0,0,1,0.7160732182074141,1,2016-05-01
4,City Hotel,3,1,2,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,F,2,No Deposit,UNK,UNK,0,Transient,152.0,0,1,0,0.2029368823520448,0,2016-05-01
5,City Hotel,94,1,3,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,138.0,UNK,0,Transient,80.75,0,0,0,0.013872427501295043,0,2016-05-01
6,City Hotel,75,1,2,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,140.4,0,1,0,0.35838078136349616,1,2016-05-01
7,City Hotel,184,1,3,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,UNK,0,Transient,104.25,0,3,0,0.09938884262941002,0,2016-05-01
8,City Hotel,100,1,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,UNK,0,Transient,91.38,0,1,1,0.658788946454586,0,2016-05-01
9,City Hotel,0,1,3,1,0.0,0,BB,ESP,Aviation,Corporate,0,0,0,A,A,0,No Deposit,UNK,153.0,0,Transient-Party,95.0,0,0,0,0.26737044133706434,0,2016-05-01
10,Resort Hotel,17,1,0,1,0.0,0,BB,PRT,Direct,Direct,1,0,1,D,D,0,No Deposit,250.0,399.0,0,Transient-Party,81.0,0,0,1,0.5543339613828726,0,2016-05-01
11,City Hotel,97,1,4,2,0.0,0,SC,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,UNK,0,Transient,78.95,0,0,0,0.019312358837100127,0,2016-05-01
12,City Hotel,74,1,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,85.0,UNK,0,Transient,90.95,0,0,1,0.6945506715022897,0,2016-05-01
13,Resort Hotel,1,1,0,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,UNK,0,Transient,90.0,0,0,1,0.6255291895078063,0,2016-05-01
14,Resort Hotel,9,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,UNK,0,Transient,96.0,1,0,0,0.05833550442837346,0,2016-05-01
15,Resort Hotel,0,0,0,2,0.0,0,BB,ESP,Online TA,TA/TO,1,0,0,D,I,0,No Deposit,240.0,UNK,0,Transient,0.0,0,1,0,0.14794306681676592,0,2016-05-01
16,Resort Hotel,0,0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,D,I,0,No Deposit,240.0,UNK,0,Transient,0.0,0,0,1,0.6430960894629902,0,2016-05-01
17,Resort Hotel,90,4,10,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,UNK,0,Transient,65.07,0,0,1,0.7751776260081554,0,2016-05-01
18,Resort Hotel,17,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,399.0,0,Transient-Party,81.0,0,0,1,0.6063410098582832,0,2016-05-01
19,Resort Hotel,35,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,242.0,UNK,0,Transient,111.0,1,0,0,0.042023056122269524,0,2016-05-01
20,Resort Hotel,0,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient,79.0,0,0,1,0.6959499386390459,0,2016-05-01
21,Resort Hotel,0,1,0,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,B,0,No Deposit,UNK,UNK,0,Transient,79.0,1,0,0,0.05369916522898755,0,2016-05-01
