customer_id,hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,parking_spaces,total_of_special_requests,y_pred,y_pred_proba,timestamp
C16913,City Hotel,34,2,0,3,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,122.45,0,1,0,0.1436810006809889,2016-10-01
C16914,City Hotel,177,2,5,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,125.1,0,1,0,0.3341790984630031,2016-10-01
C16915,City Hotel,260,2,4,2,1.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,95.13,0,1,0,0.0165069266718989,2016-10-01
C16916,City Hotel,44,2,0,1,0.0,0,SC,DEU,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,UNK,0,Transient,102.6,0,1,0,0.0683821437180292,2016-10-01
C16917,City Hotel,26,2,0,1,0.0,0,SC,USA,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,UNK,0,Transient,134.0,0,1,0,0.1939708935594011,2016-10-01
C16918,City Hotel,22,2,0,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,125.1,0,1,1,0.6977046730187604,2016-10-01
C16919,City Hotel,47,2,0,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,83.16,0,2,0,0.1601113949615009,2016-10-01
C16920,Resort Hotel,32,4,6,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,UNK,0,Transient,110.72,0,1,0,0.0852067667936972,2016-10-01
C16921,Resort Hotel,2,2,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,5,A,A,0,No Deposit,250.0,UNK,0,Transient,81.0,0,1,1,0.6655434583301872,2016-10-01
C16922,City Hotel,0,1,0,1,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,UNK,UNK,0,Transient,130.0,0,0,1,0.5827315683300808,2016-10-01
C16923,Resort Hotel,46,2,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,UNK,0,Transient,108.99,0,1,0,0.0779886093392591,2016-10-01
C16924,Resort Hotel,138,4,6,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,171.0,UNK,0,Transient,96.0,0,0,0,0.0759740474628958,2016-10-01
C16925,Resort Hotel,50,2,2,2,0.0,0,HB,UNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,UNK,0,Transient,119.0,0,1,0,0.3218454023507146,2016-10-01
C16926,Resort Hotel,57,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,240.0,UNK,0,Transient,79.0,0,1,0,0.0590448069699096,2016-10-01
