customer_id,hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,parking_spaces,total_of_special_requests,y_pred,y_pred_proba,timestamp
C23649,City Hotel,38,0,2,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,UNK,UNK,9,Transient-Party,85.0,0,0,1,0.5774448328498801,2016-12-01
C23650,City Hotel,29,0,2,1,0.0,0,BB,DEU,Corporate,TA/TO,0,0,0,A,A,4,No Deposit,UNK,UNK,0,Transient-Party,66.18,0,1,0,0.1386465719574348,2016-12-01
C23651,City Hotel,29,0,2,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient-Party,85.0,0,0,1,0.6804380828153733,2016-12-01
C23652,City Hotel,16,0,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,UNK,0,Transient,91.5,0,1,0,0.2351720441508452,2016-12-01
C23653,Resort Hotel,3,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,UNK,UNK,0,Transient,58.0,0,0,1,0.6907540373690028,2016-12-01
C23654,City Hotel,29,0,2,2,0.0,0,BB,FRA,Corporate,TA/TO,0,0,0,A,D,3,No Deposit,UNK,UNK,0,Transient-Party,85.0,0,1,0,0.1976154525104118,2016-12-01
C23655,City Hotel,29,0,2,1,0.0,0,BB,GRC,Corporate,TA/TO,0,0,0,A,D,4,No Deposit,UNK,UNK,0,Transient-Party,66.18,0,1,0,0.1088802217055381,2016-12-01
C23656,City Hotel,29,0,2,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient-Party,85.0,0,0,1,0.6804380828153733,2016-12-01
C23657,Resort Hotel,5,0,1,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,UNK,0,Transient,63.0,1,3,0,0.0361344175954013,2016-12-01
C23658,Resort Hotel,140,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,UNK,0,Transient,54.0,0,1,0,0.0728889443442029,2016-12-01
